catalogNumber,Species,Genus,Subfamily,Family,Sex,Collection
UCSB_IZC00033143_R,Bombus vagans,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00033066_R,Bombus vagans,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00033507_R,Bombus vagans,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010404_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035682_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009083_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009801_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00040303_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035185_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00040406_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035403_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00006233_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009080_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009209_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010523_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035577_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035453_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035610_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00037197_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035519_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00041336_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00006181_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035538_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00042004_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00042313_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035441_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00000964_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010403_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009089_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009102_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00039622_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035534_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00036776_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035286_R,Bombus vosnesenskii,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00005855_R,Ceratina punctagena,Ceratina,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00039458_R,Diadasia australis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037255_R,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00041916_R,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00040929_R,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037347_R,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037492_R,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00030264_R,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00038762_R,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00038796_R,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00031299_R,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037171_R,Diadasia bituberculata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039393_R,Diadasia diminuta,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00028366_R,Diadasia diminuta,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00040450_R,Diadasia enavata,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037047_R,Diadasia laticauda,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00008065_R,Diadasia nigrifrons,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00035494_R,Diadasia nitidifrons,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00042236_R,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00041663_R,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00042237_R,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00041662_R,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00041664_R,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00041668_R,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037050_R,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00038642_R,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039260_R,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037041_R,Diadasia ochracea,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039444_R,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00047190_R,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00046054_R,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039736_R,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00037320_R,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00042912_R,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00040321_R,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039575_R,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00039429_R,Diadasia rinconis,Diadasia,Apinae,Apidae,Female,UCSB
UCSB_IZC00030337_R,Eucera actuosa,Eucera,Apinae,Apidae,Female,UCSB
